,Event times,Fitted stations,Moveout intercept,Moveout slope (s/km),Event?,
140,2011-06-26T23:28:14.649900Z,6,-0.113551872,0.169281769,,
141,2011-06-26T23:52:42.329900Z,4,-2.901989057,0.324646895,,
142,2011-06-26T23:55:06.859900Z,4,-0.290927926,-0.082208745,,
143,2011-06-26T23:59:17.039900Z,3,-47.99673776,-0.240974846,,
144,2011-06-27T00:21:15.099900Z,4,-0.567286878,-0.031734288,,
145,2011-06-27T00:24:36.919900Z,4,0.213514561,-0.0015431,,
146,2011-06-27T00:27:33.259900Z,3,-20.60640787,2.199781694,,
147,2011-06-27T00:44:04.215000Z,4,-92.13732101,-0.277955292,,
148,2011-06-27T01:13:43.990000Z,4,10.11754631,-0.628114106,,
149,2011-06-27T01:43:51.589900Z,6,1.617346421,-0.044703398,,
150,2011-06-27T01:53:24.545000Z,3,-34.89337621,4.037147167,,
151,2011-06-27T02:54:35.409900Z,4,8.195912583,-0.85320022,,
152,2011-06-27T03:00:21.479900Z,5,-3.762826061,0.478636951,,
153,2011-06-27T03:23:59.919900Z,3,6.0161577,-0.078153786,,
154,2011-06-27T03:59:06.929900Z,4,-0.536538857,0.373336243,,
155,2011-06-27T04:40:28.069900Z,3,-96.61626102,0.304580719,,
156,2011-06-27T04:57:35.119900Z,6,-2.490107936,0.104495418,,
157,2011-06-27T06:07:12.489900Z,7,-3.185023989,0.466695934,,
158,2011-06-27T07:30:18.529900Z,4,-5.756058784,0.623843386,,
159,2011-06-27T08:42:29.199900Z,5,-4.762653927,0.472169038,,
160,2011-06-27T09:35:39.799900Z,7,-27.89602078,0.258853363,,
161,2011-06-27T09:44:25.640000Z,4,57.8167664,0.442499644,Y,
162,2011-06-27T09:55:53.119900Z,3,-26.85812131,0.174518247,,
163,2011-06-27T11:45:50.960000Z,7,0.991872308,0.125033484,,
164,2011-06-27T12:20:35.800000Z,6,0.261170171,0.454539028,,
165,2011-06-27T13:52:42.090000Z,3,-141.2549856,17.62614941,,
166,2011-06-27T14:10:10.270000Z,3,25.33272351,0.507324217,,
167,2011-06-27T15:17:43.610000Z,3,-1.35408063,-0.090466153,,
168,2011-06-27T16:05:39.720000Z,4,-94.19002477,0.303130321,,
169,2011-06-27T16:24:25.920000Z,6,-1.052339195,0.095566282,,
170,2011-06-27T16:40:50.258400Z,3,9.96538458,0.961610748,,
171,2011-06-27T17:05:39.055000Z,7,-0.001081318,-0.169279575,,
172,2011-06-27T17:29:03.120000Z,5,1.088684258,-0.242834131,,
173,2011-06-27T17:57:52.510000Z,5,-28.21171799,0.540753387,,
174,2011-06-27T18:25:10.420000Z,3,19.52725959,0.214624786,,
175,2011-06-27T18:38:45.510000Z,3,95.90135588,-0.744059802,,
176,2011-06-27T18:45:45.060000Z,5,32.65605955,0.253737652,,
177,2011-06-27T18:49:55.460000Z,6,0.234704951,0.218300064,,
178,2011-06-27T18:56:47.610000Z,8,-3.971666161,0.868180631,Y,
179,2011-06-27T19:15:23.370000Z,4,13.34618609,0.112611523,Y,
180,2011-06-27T19:33:29.380000Z,5,0.589713738,-0.084326841,,
181,2011-06-27T19:49:15.230000Z,5,-2.339370171,0.275473455,,
182,2011-06-27T20:05:02.580000Z,3,-103.6125914,12.78879743,,
183,2011-06-27T20:12:00.860000Z,5,-0.704135917,0.356659364,,
184,2011-06-27T20:35:10.340000Z,6,-1.97114909,0.296422286,,
185,2011-06-27T20:37:34.070000Z,6,-1.649224309,0.010933323,,
186,2011-06-27T20:40:20.900000Z,6,-4.910243714,0.425767605,,
187,2011-06-27T20:54:56.310000Z,4,-3.585663735,0.328740318,,
188,2011-06-27T21:30:16.350000Z,5,-37.63118956,0.083723001,,
189,2011-06-27T21:33:33.370000Z,5,9.371804094,-0.493515748,Y,
190,2011-06-27T23:12:39.199900Z,4,-1.320968175,-0.148385278,,
191,2011-06-27T23:34:01.348400Z,9,-1.222035187,-0.079364953,,
192,2011-06-27T23:39:11.500000Z,5,0.018977602,0.023899872,,
193,2011-06-28T00:29:51.279900Z,5,-4.29828521,0.076026954,,
194,2011-06-28T01:09:19.419900Z,6,-4.957073012,0.512664104,,
195,2011-06-28T01:35:49.269900Z,4,-47.74366759,0.343707544,,
196,2011-06-28T02:04:54.909900Z,4,-0.342210296,-0.155269972,,
197,2011-06-28T02:49:22.649900Z,4,-0.08082188,-0.256835874,,
198,2011-06-28T03:00:33.669900Z,7,1.430510945,-0.173822915,,
199,2011-06-28T03:38:05.949900Z,6,-1.086954681,0.264646854,Y,
200,2011-06-28T03:53:32.499900Z,4,9.535298337,-0.929832327,,
201,2011-06-28T04:08:27.189900Z,4,-1.69276295,0.42125948,,
202,2011-06-28T04:29:28.839900Z,8,1.812402097,0.255350899,Y,
203,2011-06-28T04:47:59.329900Z,6,-2.027417264,0.333130607,,
204,2011-06-28T06:25:17.250000Z,3,-109.781512,13.24686016,,
205,2011-06-28T06:53:17.099900Z,6,-0.594684188,0.06557253,,
206,2011-06-28T06:59:51.288400Z,4,-18.51911124,4.525823081,,
207,2011-06-28T07:02:18.810000Z,4,-6.005442642,6.985366233,,
208,2011-06-28T07:42:28.858400Z,5,-57.44916691,0.215448503,,
209,2011-06-28T09:28:02.089900Z,6,5.170770026,-0.500532359,,
210,2011-06-28T09:54:12.789900Z,4,4.821142552,-0.762373368,,
211,2011-06-28T10:22:01.501000Z,4,-23.66207223,-0.376539299,,
212,2011-06-28T10:44:22.831000Z,3,-77.74410048,-0.249408614,,
213,2011-06-28T10:46:36.811000Z,4,4.107349195,-0.725968609,,
214,2011-06-28T11:18:14.101000Z,5,-99.64503992,0.452726085,,
215,2011-06-28T11:23:28.771000Z,4,-3.596546058,0.452650728,,
216,2011-06-28T11:31:42.381000Z,3,9.216624741,-0.89066766,,
217,2011-06-28T11:47:31.831000Z,4,-2.559217569,-0.130463012,,
218,2011-06-28T12:10:19.361000Z,6,-1.660875689,0.228126134,,
219,2011-06-28T12:30:13.220000Z,5,61.8072752,-0.897501283,,
220,2011-06-28T12:46:52.771000Z,7,1.373163256,0.024199654,,
221,2011-06-28T12:50:15.571000Z,3,-16.64356248,1.934167232,,
222,2011-06-28T13:30:18.721000Z,4,4.65737909,-0.039301883,,
223,2011-06-28T14:03:09.151000Z,3,36.38066898,1.35747807,,
224,2011-06-28T14:06:39.950000Z,3,-8.057299044,0.790864281,,
225,2011-06-28T14:22:53.591000Z,5,-5.286379931,-0.261164232,,
226,2011-06-28T15:19:54.171000Z,4,2.442518149,-0.599801814,,
227,2011-06-28T15:42:13.291000Z,6,-3.876681471,0.458655388,,
228,2011-06-28T15:53:39.511000Z,3,-51.52886918,0.107438541,,
229,2011-06-28T16:17:38.210700Z,5,1.438578738,0.152283906,Y,
230,2011-06-28T16:31:46.000700Z,4,3.394771267,-0.116921666,,
231,2011-06-28T18:01:24.860700Z,6,-0.93004016,0.313912952,,
232,2011-06-28T18:29:32.210700Z,6,-2.297598501,0.091347844,,
233,2011-06-28T19:16:43.250700Z,4,-1.618088972,0.073471157,,
234,2011-06-28T19:21:13.065000Z,4,-6.699028045,1.209141463,,
235,2011-06-28T19:56:01.270700Z,6,2.01798994,-0.190933914,,
236,2011-06-28T20:09:30.630700Z,6,-1.767723649,0.069079986,,
237,2011-06-28T21:05:07.150700Z,4,-9.184295961,1.116314319,,
238,2011-06-28T21:16:31.470600Z,3,-35.79691368,-0.3546003,,
239,2011-06-28T21:51:20.050700Z,6,-1.153857766,0.34351467,,
240,2011-06-28T22:23:29.180000Z,3,-36.11545935,1.27901113,,
241,2011-06-28T22:25:54.800000Z,6,-5.086342345,0.570677366,,
242,2011-06-28T22:36:02.460000Z,6,4.979653703,-0.555073692,,
243,2011-06-28T23:22:47.070000Z,7,0.076201412,0.261758519,,
244,2011-06-28T23:26:57.250000Z,4,-3.830460361,0.315321404,,
245,2011-06-28T23:53:15.030000Z,3,-14.47397488,1.068135742,,
246,2011-06-29T00:56:48.780000Z,5,-3.064605491,0.312413177,,
